"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-043","CCT-043-TES-MIXED3-001","Saved workbook with base broken then alt valid then alt2 valid; unqualified TestEventServer","error","ui-blocked-or-compile-failure","ok","PMR-E-TYPELIB-IMPORTLIB-UNRESOLVED","true","Excel stage=reopened; refs=name=;guid={E2A30001-0001-0001-0001-000000000001};broken=True|name=OxVba_TestEventServerAlt;guid={E2A30001-0001-0001-0001-000000000101};broken=False|name=OxVba_TestEventServerAlt2;guid={E2A30001-0001-0001-0001-000000000201};broken=False; modal_observed=true; window_titles=Microsoft Visual Basic for Applications - [MainModule (Code)]; handler_signal=ui-blocked-or-compile-failure; handler_log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_mixed_broken_oracle_20260327T062044Z\CCT-043-TES-MIXED3-001.vba-dialog-handler.log; probe_exit_code=; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_mixed_broken_base_then_valid_alt_then_valid_alt2_reports_unresolved_importlib -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_mixed_broken_oracle_20260327T062044Z\CCT-043-TES-MIXED3-001.log.txt"
"CCT-043","CCT-043-TES-MIXED3-002","Saved workbook with alt2 broken then base valid then alt valid; unqualified TestEventServer","error","ui-blocked-or-compile-failure","ok","PMR-E-TYPELIB-IMPORTLIB-UNRESOLVED","true","Excel stage=reopened; refs=name=;guid={E2A30001-0001-0001-0001-000000000201};broken=True|name=OxVba_TestEventServer;guid={E2A30001-0001-0001-0001-000000000001};broken=False|name=OxVba_TestEventServerAlt;guid={E2A30001-0001-0001-0001-000000000101};broken=False; modal_observed=true; window_titles=Microsoft Visual Basic for Applications - [MainModule (Code)]; handler_signal=ui-blocked-or-compile-failure; handler_log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_mixed_broken_oracle_20260327T062044Z\CCT-043-TES-MIXED3-002.vba-dialog-handler.log; probe_exit_code=; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_mixed_broken_alt2_then_valid_base_then_valid_alt_reports_unresolved_importlib -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_mixed_broken_oracle_20260327T062044Z\CCT-043-TES-MIXED3-002.log.txt"
