lhs,rhs,op,result
Long,Long,=,ok
String,String,=,ok
String,Long,=,ok
Date,Long,>=,ok
Variant,Object,=,ok
Object,Long,=,type-mismatch
Object,Object,=,type-mismatch
Array,Long,<>,type-mismatch
