"run_id","side","ref","commit","type_name","size_bytes","align_bytes","artifact_path","log_path","probe_peak_working_set_bytes"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","RustString","24","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","BStr","24","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","RuntimeValue","64","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","Variant","80","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","SafeArray","64","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","SafeArrayBound","8","4","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","F64Value","16","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","CurrencyValue","8","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","ObjectIdentityCarrier","8","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","BindingHandle","4","4","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","ComValue","64","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","ComInvokeArg","88","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
"vmf2-mem-identity-smoke","candidate","HEAD","2350f6bd6c701a44e554cae79af5980586a21a06","ComCallbackPayload","48","8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\layout_metrics.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmf2-mem-identity-smoke\candidate\memory\logs\layout_probe.log.txt","11243520"
