"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-com-dispatch-boundary-v55","windows","x64","vm","true","green","94","2026-02-28T01:13:14Z","docs\evidence\profiles\v55\conformance_vm.csv"
"mvp-com-dispatch-boundary-v55","windows","x64","jit","true","green","94","2026-02-28T01:13:14Z","docs\evidence\profiles\v55\conformance_jit.csv"
