"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-043","CCT-043-TES-MIXED-001","Saved workbook with base then alt references; first typelib removed before reopen","timeout","execution-did-not-return-within-15s","ok","PMR-E-TYPELIB-IMPORTLIB-UNRESOLVED","false","Excel stage=reopened; refs=name=;guid={E2A30001-0001-0001-0001-000000000001};broken=True|name=OxVba_TestEventServerAlt;guid={E2A30001-0001-0001-0001-000000000101};broken=False; modal_observed=possible; window_titles=Microsoft Visual Basic for Applications - [MainModule (Code)]; probe_exit_code=; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_mixed_broken_base_then_valid_alt_reports_unresolved_importlib -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_mixed_broken_reference_oracle_20260326T192900Z\CCT-043-TES-MIXED-001.log.txt"
"CCT-043","CCT-043-TES-MIXED-002","Saved workbook with alt then base references; first typelib removed before reopen","timeout","execution-did-not-return-within-15s","ok","PMR-E-TYPELIB-IMPORTLIB-UNRESOLVED","false","Excel stage=reopened; refs=name=;guid={E2A30001-0001-0001-0001-000000000101};broken=True|name=OxVba_TestEventServer;guid={E2A30001-0001-0001-0001-000000000001};broken=False; modal_observed=possible; window_titles=Microsoft Visual Basic for Applications - [MainModule (Code)]; probe_exit_code=; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_mixed_broken_alt_then_valid_base_reports_unresolved_importlib -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_mixed_broken_reference_oracle_20260326T192900Z\CCT-043-TES-MIXED-002.log.txt"
