lane,path,status,programs,checked_arith,widening_arith,compare,failed,checked_targets
bas,conformance/jit_v2/numeric_micro/nm06_currency_multiply_overflow.bas,ok,1,0,2,0,0,
bas,conformance/jit_v2/numeric_micro/nm07_clng_bankers_half_even.bas,ok,1,0,2,0,0,
bas,conformance/jit_v2/numeric_micro/nm08_clng_upper_half_overflow.bas,ok,1,0,0,0,0,
bas,conformance/jit_v2/numeric_micro/nm09_cint_half_boundary.bas,ok,1,0,0,0,0,
bas,conformance/jit_v2/numeric_micro/nm10_int_fix_conversion_rounding.bas,ok,1,0,3,0,0,
bas,conformance/jit_v2/numeric_micro/nm11_negative_zero_snapshot.bas,ok,1,0,1,0,0,
bas,conformance/jit_v2/numeric_micro/nm12_single_double_roundtrip.bas,ok,1,0,0,1,0,
bas,conformance/jit_v2/numeric_micro/nm13_double_overflow_inf_compare.bas,ok,1,0,1,2,0,
bas,conformance/jit_v2/numeric_micro/nm14_nan_candidate_power_compare.bas,ok,1,0,1,2,0,
bas,conformance/jit_v2/numeric_micro/nm15_intdiv_long_min_minus_one.bas,ok,1,2,1,0,0,Integer:1|Long:1
bas,conformance/jit_v2/numeric_micro/nm16_mod_long_min_minus_one.bas,ok,1,2,1,0,0,Integer:1|Long:1
bas,conformance/jit_v2/numeric_micro/nm17_longlong_add_overflow.bas,ok,1,1,0,0,0,LongLong:1
bas,conformance/jit_v2/numeric_micro/nm18_variant_integer_widening.bas,ok,1,0,1,0,0,
bas,conformance/jit_v2/tracer_bullets/tb01_primitive_scalar_loop.bas,ok,1,2,1,4,0,Long:2
bas,conformance/jit_v2/tracer_bullets/tb02_udt_struct_fields.bas,ok,1,3,0,0,0,Long:3
bas,conformance/jit_v2/tracer_bullets/tb03_error_resume_next.bas,ok,1,0,0,0,0,
bas,conformance/jit_v2/tracer_bullets/tb04_bstr_lifetime_concat_len.bas,ok,1,0,0,1,0,
bas,conformance/jit_v2/tracer_bullets/tb05_safearray_foreach_bounds.bas,ok,1,1,0,0,0,Long:1
bas,conformance/jit_v2/tracer_bullets/tb06_late_bound_com_resume_next.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/jit_v2/tracer_bullets/tb07_early_bound_com_typelib.bas,bind: unsupported construct: New oxvba.testdispatch (only project classes are creatable),0,0,0,0,1,
bas,conformance/jit_v2/tracer_bullets/tb08_native_declare_shared_abi.bas,ok,1,2,0,1,0,Long:2
bas,conformance/jit_v2/tracer_bullets/tb09_exported_callable_projection.bas,ok,1,0,2,0,0,
bas,conformance/tests/array_bounds_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/array_explicit_lower_bound.bas,ok,1,0,0,0,0,
bas,conformance/tests/array_multidim_indexing.bas,ok,1,0,0,0,0,
bas,conformance/tests/array_option_base_one_bounds.bas,ok,1,0,0,0,0,
bas,conformance/tests/array_store_load.bas,ok,1,0,0,0,0,
bas,conformance/tests/array_zero_index.bas,ok,1,0,0,0,0,
bas,conformance/tests/assignment_set_let_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/byref_typed_mismatch_error.bas,"bind: ByRef argument type mismatch: expected Long, got Integer",0,0,0,0,1,
bas,conformance/tests/call_coercion_mixed_variant_to_long.bas,ok,1,0,0,0,0,
bas,conformance/tests/class_lifecycle_initialize_fail.bas,ok,1,0,0,0,0,
bas,conformance/tests/class_lifecycle_resume_next_ok.bas,ok,1,0,0,0,0,
bas,conformance/tests/class_lifecycle_terminate_fail.bas,ok,1,0,0,0,0,
bas,conformance/tests/coercion_arg_object_to_long_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/coercion_assign_object_to_long_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/coercion_cverr_abs_normalization.bas,ok,1,1,0,0,0,Integer:1
