"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-lang-full-closure-gate-v106","windows","x64","vm","true","green","157","2026-02-28T21:18:11Z","docs\evidence\profiles\v106\conformance_vm.csv"
"mvp-lang-full-closure-gate-v106","windows","x64","jit","true","green","157","2026-02-28T21:18:11Z","docs\evidence\profiles\v106\conformance_jit.csv"
