"run_id","lane_id","lane","profile","prog_id","status","exit_code","started_utc","finished_utc","command","log","report"
"20260304T233949Z","L2b","registrationless-controlled","windows-headless","OxVba.TestDispatch","pass","0","2026-03-04T23:39:49Z","2026-03-04T23:39:49Z","cargo test -p oxvba-host --test com_client_end_to_end -- --test-threads=1","docs\evidence\conformance\com\COM_LANE_L2B_LOG_20260304T233949Z.txt","docs\evidence\conformance\com\COM_LANE_L2B_RUN_20260304T233949Z.md"
"20260304T233949Z","L2","registered-external","windows-headless","OxVba.DoesNotExist.Component","fail","101","2026-03-04T23:39:49Z","2026-03-04T23:39:50Z","cargo test -p oxvba-host --test com_client_registered_lane -- --ignored --test-threads=1","docs\evidence\conformance\com\COM_LANE_L2_LOG_OxVba.DoesNotExist.Component_20260304T233949Z.txt","docs\evidence\conformance\com\COM_LANE_L2_RUN_OxVba.DoesNotExist.Component_20260304T233949Z.md"
