kind,library,field1,field2,field3,field4,field5,field6,field7,field8
vt,Microsoft ActiveX Data Objects 2.5 Library,VT_UINT,100
vt,Microsoft ActiveX Data Objects 2.5 Library,VT_UNKNOWN,33
vt,Microsoft ActiveX Data Objects 2.5 Library,VT_USERDEFINED,456
vt,Microsoft ActiveX Data Objects 2.5 Library,VT_VARIANT,185
vt,Microsoft ActiveX Data Objects 2.5 Library,VT_VOID,450
metadata,Microsoft ActiveX Data Objects 2.6 Library,748,20,748,ADODB.Connection,ADODB,live:{00000206-0000-0010-8000-00AA006D2EA4}:2:6
summary,Microsoft ActiveX Data Objects 2.6 Library,95,826,420,44,465,137
typekind,Microsoft ActiveX Data Objects 2.6 Library,alias,1
typekind,Microsoft ActiveX Data Objects 2.6 Library,coclass,6
typekind,Microsoft ActiveX Data Objects 2.6 Library,dispatch,28
typekind,Microsoft ActiveX Data Objects 2.6 Library,enum,52
typekind,Microsoft ActiveX Data Objects 2.6 Library,interface,8
invkind,Microsoft ActiveX Data Objects 2.6 Library,func,403
invkind,Microsoft ActiveX Data Objects 2.6 Library,property_get,260
invkind,Microsoft ActiveX Data Objects 2.6 Library,property_put,144
invkind,Microsoft ActiveX Data Objects 2.6 Library,property_putref,19
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_BOOL,32
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_BSTR,125
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_DISPATCH,14
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_HRESULT,56
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_I1,26
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_I4,168
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_I8,62
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_PTR,599
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_UI1,14
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_UI2,26
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_UI4,130
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_UINT,104
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_UNKNOWN,34
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_USERDEFINED,470
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_VARIANT,191
vt,Microsoft ActiveX Data Objects 2.6 Library,VT_VOID,465
metadata,Microsoft ActiveX Data Objects Recordset 2.8 Library,452,0,452,ADOR.Recordset,ADOR,live:{00000300-0000-0010-8000-00AA006D2EA4}:2:8
summary,Microsoft ActiveX Data Objects Recordset 2.8 Library,57,497,203,37,187,84
typekind,Microsoft ActiveX Data Objects Recordset 2.8 Library,alias,3
typekind,Microsoft ActiveX Data Objects Recordset 2.8 Library,coclass,1
typekind,Microsoft ActiveX Data Objects Recordset 2.8 Library,dispatch,15
typekind,Microsoft ActiveX Data Objects Recordset 2.8 Library,enum,37
typekind,Microsoft ActiveX Data Objects Recordset 2.8 Library,interface,1
invkind,Microsoft ActiveX Data Objects Recordset 2.8 Library,func,234
invkind,Microsoft ActiveX Data Objects Recordset 2.8 Library,property_get,164
invkind,Microsoft ActiveX Data Objects Recordset 2.8 Library,property_put,86
invkind,Microsoft ActiveX Data Objects Recordset 2.8 Library,property_putref,13
