"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-profile-v162","windows","x64","vm","true","green","185","2026-03-01T09:31:00Z","docs\evidence\profiles\v162\conformance_vm.csv"
"mvp-profile-v162","windows","x64","jit","true","green","185","2026-03-01T09:31:00Z","docs\evidence\profiles\v162\conformance_jit.csv"
