"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-controlflow-v2","windows","x64","vm","true","green","9","2026-02-27T11:44:57Z","docs\evidence\profiles\v2\conformance_vm.csv"
"mvp-controlflow-v2","windows","x64","jit","true","green","9","2026-02-27T11:44:57Z","docs\evidence\profiles\v2\conformance_jit.csv"
