obligation,profile,status,initial_status,attempts,attempt,retry_round,timeout_seconds,cache_hit,exit_code,command,artifact,started_utc,ended_utc,log
FO-V287-001,v287,timeout,timeout,1,1,0,600,false,124,cargo kani -p oxvba-host --harness pmr_typelib_resolution_transitions_typelib_refs_out_of_unbound,crates/oxvba-host/src/project.rs,2026-03-03T20:11:17Z,2026-03-03T20:21:18Z,/home/ubuntu/.dnacalc_remote/state/deferred_lanes/v287-kani-pinned-fast/FO-V287-001.log
FO-V287-002,v287,timeout,timeout,1,1,0,600,false,124,cargo kani -p oxvba-host --harness pmr_active_resolution_prefers_local_symbol_before_reference_symbol,crates/oxvba-host/src/project.rs,2026-03-03T20:21:18Z,2026-03-03T20:31:19Z,/home/ubuntu/.dnacalc_remote/state/deferred_lanes/v287-kani-pinned-fast/FO-V287-002.log
FO-V287-003,v287,pass,pass,1,1,0,600,false,0,cargo kani -p oxvba-hal --harness dynlink_contract_rejects_mismatched_selection_policy,crates/oxvba-hal/src/traits.rs,2026-03-03T20:31:19Z,2026-03-03T20:31:30Z,/home/ubuntu/.dnacalc_remote/state/deferred_lanes/v287-kani-pinned-fast/FO-V287-003.log
