"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-typing-diagnostic-rollup-v72","windows","x64","vm","true","green","107","2026-02-28T10:42:22Z","docs\evidence\profiles\v72\conformance_vm.csv"
"mvp-typing-diagnostic-rollup-v72","windows","x64","jit","true","green","107","2026-02-28T10:42:22Z","docs\evidence\profiles\v72\conformance_jit.csv"
