"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-stdlib-string-advanced-v47","windows","x64","vm","true","green","67","2026-02-28T00:47:41Z","docs\evidence\profiles\v47\conformance_vm.csv"
"mvp-stdlib-string-advanced-v47","windows","x64","jit","true","green","67","2026-02-28T00:47:41Z","docs\evidence\profiles\v47\conformance_jit.csv"
