"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-043","CCT-043-TES-ORDER-001","Two typelib references, base then alt, unqualified TestEventServer","ok","42","ok","42","true","Excel reference-order=OxVba_TestEventServer:{E2A30001-0001-0001-0001-000000000001};OxVba_TestEventServerAlt:{E2A30001-0001-0001-0001-000000000101}; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_prefers_first_typelib_reference_for_unqualified_testeventserver -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_reference_order_oracle_20260326T171500Z\CCT-043-TES-ORDER-001.log.txt"
"CCT-043","CCT-043-TES-ORDER-002","Two typelib references, alt then base, unqualified TestEventServer","ok","84","ok","84","true","Excel reference-order=OxVba_TestEventServerAlt:{E2A30001-0001-0001-0001-000000000101};OxVba_TestEventServer:{E2A30001-0001-0001-0001-000000000001}; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_prefers_reversed_first_typelib_reference_for_unqualified_testeventserver -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_reference_order_oracle_20260326T171500Z\CCT-043-TES-ORDER-002.log.txt"
