"run_id","side","ref","commit","backend","workload_id","category","description","iterations","average_ms","min_ms","max_ms","source_path","log_path","artifact_path"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","vm","small_strings","small","Short scalar string intrinsic churn","1","102324.21","102324.21","102324.21","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\small_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_small_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","vm","medium_strings","medium","Medium scalar string intrinsic churn","1","907.12","907.12","907.12","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\medium_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_medium_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","vm","long_strings","long","Long scalar string intrinsic churn","1","702.15","702.15","702.15","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\long_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_long_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","vm","many_strings","many","Split/join churn across many delimited strings","1","725.59","725.59","725.59","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\many_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_many_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","vm","code_strings","code","Large source-text module with many string literals","1","800.41","800.41","800.41","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\code_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_code_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","jit","small_strings","small","Short scalar string intrinsic churn","1","656.39","656.39","656.39","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\small_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_small_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","jit","medium_strings","medium","Medium scalar string intrinsic churn","1","594.44","594.44","594.44","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\medium_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_medium_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","jit","long_strings","long","Long scalar string intrinsic churn","1","482.84","482.84","482.84","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\long_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_long_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","jit","many_strings","many","Split/join churn across many delimited strings","1","586.99","586.99","586.99","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\many_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_many_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
"vmd6-perf-check","candidate","HEAD","48857b11e9d72a7571a9558925a339ffdb8f95ad","jit","code_strings","code","Large source-text module with many string literals","1","140987.04","140987.04","140987.04","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\code_strings.bas","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_code_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\string_perf.csv"
