"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-043","CCT-043-TES-BROKEN-LATER3-001","Saved workbook with base valid then alt broken after save then alt2 valid; unqualified TestEventServer still selects first valid base reference","ok","42","ok","compile-selected-progid=OxVba.TestEventServer","true","Excel stage=completed; refs=name=OxVba_TestEventServer;guid={E2A30001-0001-0001-0001-000000000001};broken=False|name=;guid={E2A30001-0001-0001-0001-000000000101};broken=True|name=OxVba_TestEventServerAlt2;guid={E2A30001-0001-0001-0001-000000000201};broken=False; modal_observed=false; handler_signal=; handler_log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_unqualified_broken_later_oracle_20260327T063542Z\CCT-043-TES-BROKEN-LATER3-001.vba-dialog-handler.log; probe_exit_code=0; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_valid_base_then_broken_alt_then_valid_alt2_prefers_base_for_unqualified_testeventserver -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_unqualified_broken_later_oracle_20260327T063542Z\CCT-043-TES-BROKEN-LATER3-001.log.txt"
"CCT-043","CCT-043-TES-BROKEN-LATER3-002","Saved workbook with alt2 valid then base broken after save then alt valid; unqualified TestEventServer still selects first valid alt2 reference","ok","126","ok","compile-selected-progid=OxVba.TestEventServerAlt2","true","Excel stage=completed; refs=name=OxVba_TestEventServerAlt2;guid={E2A30001-0001-0001-0001-000000000201};broken=False|name=;guid={E2A30001-0001-0001-0001-000000000001};broken=True|name=OxVba_TestEventServerAlt;guid={E2A30001-0001-0001-0001-000000000101};broken=False; modal_observed=false; handler_signal=; handler_log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_unqualified_broken_later_oracle_20260327T063542Z\CCT-043-TES-BROKEN-LATER3-002.vba-dialog-handler.log; probe_exit_code=0; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_valid_alt2_then_broken_base_then_valid_alt_prefers_alt2_for_unqualified_testeventserver -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_three_reference_unqualified_broken_later_oracle_20260327T063542Z\CCT-043-TES-BROKEN-LATER3-002.log.txt"
