"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-043","CCT-043-TES-LIBID-001","Unknown LIBID via AddFromGuid vs loaded .basproj unresolved LIBID","error","Object library not registered","ok","PMR-E-TYPELIB-LIBID-UNRESOLVED","true","Excel classification=unresolved-libid; ref_count=4; modal_observed=false; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_reports_unresolved_typelib_libid_identity -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_unresolved_typelib_oracle_20260326T174738Z\CCT-043-TES-LIBID-001.log.txt"
"CCT-043","CCT-043-TES-IMPORTLIB-001","Missing .tlb via AddFromFile vs loaded .basproj unresolved importlib","error","Error in loading DLL","ok","PMR-E-TYPELIB-IMPORTLIB-UNRESOLVED","true","Excel classification=unresolved-importlib; ref_count=4; modal_observed=false; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_reports_unresolved_typelib_importlib_identity -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_unresolved_typelib_oracle_20260326T174738Z\CCT-043-TES-IMPORTLIB-001.log.txt"
