"file","oracle_status","oracle_values","golden_status","golden_values","match","notes"
"zz_probe_variant_add_i16_boundary.bas","ok","i16:32767|i16:1|i32:32768","","","",""
"zz_probe_variant_add_small.bas","ok","i16:0|i16:1|i16:1","","","",""
"zz_probe_variant_bool_add.bas","ok","bool:true|i16:1|i16:0","","","",""
"zz_probe_variant_byte_add.bas","ok","u8:1|u8:2|u8:3","","","",""
"zz_probe_variant_long_add.bas","ok","i32:32768|i16:1|i32:32769","","","",""
"zz_probe_variant_mul_i16_boundary.bas","ok","i16:200|i16:200|i32:40000","","","",""
"zz_probe_variant_neg_boundary.bas","ok","i32:-32768|i32:32768","","","",""
"zz_probe_variant_neg_small.bas","ok","i16:1|i16:-1","","","",""
"zz_probe_variant_sub_small.bas","ok","i16:0|i16:1|i16:-1","","","",""
