"workload_id","category","description","string_length","loop_count","item_count","statement_count","source_path"
"small_strings","small","Short scalar string intrinsic churn","8","12000","","","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\small_strings.bas"
"medium_strings","medium","Medium scalar string intrinsic churn","256","4000","","","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\medium_strings.bas"
"long_strings","long","Long scalar string intrinsic churn","2176","400","","","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\long_strings.bas"
"many_strings","many","Split/join churn across many delimited strings","24","120","256","","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\many_strings.bas"
"code_strings","code","Large source-text module with many string literals","48","","","1800","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\generated_sources\code_strings.bas"
