"run_id","backend","workload_id","category","baseline_ms","candidate_ms","delta_ms","delta_percent","baseline_log","candidate_log"
"vmd6-perf-check","vm","small_strings","small","123000.67","102324.21","-20676.46","-16.81","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\vm_small_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_small_strings.log.txt"
"vmd6-perf-check","vm","medium_strings","medium","516.75","907.12","390.37","75.54","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\vm_medium_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_medium_strings.log.txt"
"vmd6-perf-check","vm","long_strings","long","420.29","702.15","281.86","67.06","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\vm_long_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_long_strings.log.txt"
"vmd6-perf-check","vm","many_strings","many","394.68","725.59","330.91","83.84","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\vm_many_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_many_strings.log.txt"
"vmd6-perf-check","vm","code_strings","code","537.47","800.41","262.94","48.92","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\vm_code_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\vm_code_strings.log.txt"
"vmd6-perf-check","jit","small_strings","small","514.19","656.39","142.2","27.66","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\jit_small_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_small_strings.log.txt"
"vmd6-perf-check","jit","medium_strings","medium","391.5","594.44","202.94","51.84","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\jit_medium_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_medium_strings.log.txt"
"vmd6-perf-check","jit","long_strings","long","412.59","482.84","70.25","17.03","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\jit_long_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_long_strings.log.txt"
"vmd6-perf-check","jit","many_strings","many","405.25","586.99","181.74","44.85","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\jit_many_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_many_strings.log.txt"
"vmd6-perf-check","jit","code_strings","code","140712.53","140987.04","274.51","0.2","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\baseline\perf\logs\jit_code_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_string_perf_vmd6-perf-check\candidate\perf\logs\jit_code_strings.log.txt"
