"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-resume-goto-v12","windows","x64","vm","true","green","37","2026-02-27T13:21:42Z","docs\evidence\profiles\v12\conformance_vm.csv"
"mvp-resume-goto-v12","windows","x64","jit","true","green","37","2026-02-27T13:21:42Z","docs\evidence\profiles\v12\conformance_jit.csv"
