"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-stdlib-surface-architecture-v62","windows","x64","vm","true","green","98","2026-02-28T08:28:20Z","docs\evidence\profiles\v62\conformance_vm.csv"
"mvp-stdlib-surface-architecture-v62","windows","x64","jit","true","green","98","2026-02-28T08:28:20Z","docs\evidence\profiles\v62\conformance_jit.csv"
