"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-int32-core-v1","windows","x64","vm","true","green","4","2026-02-27T07:16:16Z","docs\evidence\phase12\conformance_vm.csv"
"mvp-int32-core-v1","windows","x64","jit","true","green","4","2026-02-27T07:16:16Z","docs\evidence\phase12\conformance_jit.csv"
