"run_id","workload_id","category","baseline_peak_working_set_bytes","candidate_peak_working_set_bytes","delta_peak_working_set_bytes","baseline_steady_working_set_bytes","candidate_steady_working_set_bytes","delta_steady_working_set_bytes","baseline_elapsed_ms","candidate_elapsed_ms","delta_elapsed_ms","baseline_log","candidate_log"
"vmd7-mem-bstr-coreonly","cli_small_strings","string_churn","11341824","11296768","-45056","11292672","11247616","-45056","87573.72","74618.22","-12955.5","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\baseline\memory\logs\cli_small_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\candidate\memory\logs\cli_small_strings.log.txt"
"vmd7-mem-bstr-coreonly","cli_many_strings","string_churn","11313152","11296768","-16384","11264000","11243520","-20480","75391.68","67214.26","-8177.419999999998","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\baseline\memory\logs\cli_many_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\candidate\memory\logs\cli_many_strings.log.txt"
"vmd7-mem-bstr-coreonly","cli_code_strings","code_strings","11231232","11218944","-12288","11182080","11169792","-12288","74870.3","69205.92","-5664.380000000005","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\baseline\memory\logs\cli_code_strings.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\candidate\memory\logs\cli_code_strings.log.txt"
