"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-043","CCT-043-TES-BROKEN-FIRST-QUAL-001","Saved workbook with base broken then alt valid after reopen; explicit qualified alt target","ok","84","ok","compile-selected-progid=OxVba.TestEventServerAlt","true","Excel stage=completed; refs=name=;guid={E2A30001-0001-0001-0001-000000000001};broken=True|name=OxVba_TestEventServerAlt;guid={E2A30001-0001-0001-0001-000000000101};broken=False; modal_observed=false; window_titles=; handler_signal=; handler_log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_qualified_broken_first_reference_oracle_20260327T052111Z\CCT-043-TES-BROKEN-FIRST-QUAL-001.vba-dialog-handler.log; probe_exit_code=0; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_broken_base_then_valid_alt_qualified_target_resolves_alt_binding -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_qualified_broken_first_reference_oracle_20260327T052111Z\CCT-043-TES-BROKEN-FIRST-QUAL-001.log.txt"
"CCT-043","CCT-043-TES-BROKEN-FIRST-QUAL-002","Saved workbook with alt broken then base valid after reopen; explicit qualified base target","ok","42","ok","compile-selected-progid=OxVba.TestEventServer","true","Excel stage=completed; refs=name=;guid={E2A30001-0001-0001-0001-000000000101};broken=True|name=OxVba_TestEventServer;guid={E2A30001-0001-0001-0001-000000000001};broken=False; modal_observed=false; window_titles=; handler_signal=; handler_log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_qualified_broken_first_reference_oracle_20260327T052111Z\CCT-043-TES-BROKEN-FIRST-QUAL-002.vba-dialog-handler.log; probe_exit_code=0; OxVba anchor command=cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_loaded_basproj_broken_alt_then_valid_base_qualified_target_resolves_base_binding -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\com_testeventserver_qualified_broken_first_reference_oracle_20260327T052111Z\CCT-043-TES-BROKEN-FIRST-QUAL-002.log.txt"
