"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-profile-v159","windows","x64","vm","true","green","178","2026-03-01T08:57:22Z","docs\evidence\profiles\v159\conformance_vm.csv"
"mvp-profile-v159","windows","x64","jit","true","green","178","2026-03-01T08:57:22Z","docs\evidence\profiles\v159\conformance_jit.csv"
