"run_id","workload_id","category","baseline_ms","candidate_ms","delta_ms","delta_percent","baseline_log","candidate_log"
"vme5-perf-check","scalar_classifier","scalar","842.15","2424.01","1581.86","187.84","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\baseline\perf\logs\scalar_classifier.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\candidate\perf\logs\scalar_classifier.log.txt"
"vme5-perf-check","numeric_classifier","numeric","646.09","735.19","89.1","13.79","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\baseline\perf\logs\numeric_classifier.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\candidate\perf\logs\numeric_classifier.log.txt"
"vme5-perf-check","typed_array_results","typed_array","589.84","550.97","-38.87","-6.59","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\baseline\perf\logs\typed_array_results.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\candidate\perf\logs\typed_array_results.log.txt"
"vme5-perf-check","typed_decimal_array_results","typed_array","612.09","581.86","-30.23","-4.94","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\baseline\perf\logs\typed_decimal_array_results.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\candidate\perf\logs\typed_decimal_array_results.log.txt"
"vme5-perf-check","object_results","object","584.56","769.14","184.58","31.58","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\baseline\perf\logs\object_results.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\candidate\perf\logs\object_results.log.txt"
"vme5-perf-check","wide_i64_array_boundary","wide_i64","541.17","642.89","101.72","18.8","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\baseline\perf\logs\wide_i64_array_boundary.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\candidate\perf\logs\wide_i64_array_boundary.log.txt"
"vme5-perf-check","variant_matrix_results","matrix","681.12","931.22","250.1","36.72","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\baseline\perf\logs\variant_matrix_results.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_variant_perf_vme5-perf-check\candidate\perf\logs\variant_matrix_results.log.txt"
