"lane","status","artifact","note"
"formal","pass","docs/evidence/formal/latest_run.csv","blocking obligations must pass"
"matrix","pass","docs\evidence\profiles\v66\gate_report.md","required cells gate"
"bench","pass","docs\evidence\profiles\v66\benchmark_latest.md","mixed workload benchmark artifacts"
