"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-semantics-model-v16","windows","x64","vm","true","green","37","2026-02-27T13:22:33Z","docs\evidence\profiles\v16\conformance_vm.csv"
"mvp-semantics-model-v16","windows","x64","jit","true","green","37","2026-02-27T13:22:33Z","docs\evidence\profiles\v16\conformance_jit.csv"
