"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-035","CCT-035-ENV-001","Host-backed Environ(name) returns the environment string value","ok","oracle-033-value","ok","oracle-033-value","true","OxVba anchor: host_sensitive_oracle_lane::windows_host_sensitive_oracle_lane::windows_host_backed_environ_string_returns_actual_value; command=cargo test -p oxvba-host --test host_sensitive_oracle_lane windows_host_sensitive_oracle_lane::windows_host_backed_environ_string_returns_actual_value -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\host_sensitive_oracle_20260326T074730Z\CCT-035-ENV-001.log.txt"
"CCT-035","CCT-035-DIR-001","Host-backed Dir(path) returns the matching file name","ok","probe-file.txt","ok","probe-file.txt","true","OxVba anchor: host_sensitive_oracle_lane::windows_host_sensitive_oracle_lane::windows_host_backed_dir_existing_file_returns_filename; command=cargo test -p oxvba-host --test host_sensitive_oracle_lane windows_host_sensitive_oracle_lane::windows_host_backed_dir_existing_file_returns_filename -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\host_sensitive_oracle_20260326T074730Z\CCT-035-DIR-001.log.txt"
"CCT-035","CCT-035-SHELL-001","Host-backed Shell(command) returns a positive task identifier","ok","pid>0","ok","pid>0","true","OxVba anchor: host_sensitive_oracle_lane::windows_host_sensitive_oracle_lane::windows_host_backed_shell_returns_positive_process_identifier; command=cargo test -p oxvba-host --test host_sensitive_oracle_lane windows_host_sensitive_oracle_lane::windows_host_backed_shell_returns_positive_process_identifier -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\host_sensitive_oracle_20260326T074730Z\CCT-035-SHELL-001.log.txt"
