"profile_scope","os","arch","backend","required","result","tests_ran","captured_at_utc","evidence_file"
"mvp-stdlib-array-variant-introspection-v50","windows","x64","vm","true","green","94","2026-02-28T01:09:15Z","docs\evidence\profiles\v50\conformance_vm.csv"
"mvp-stdlib-array-variant-introspection-v50","windows","x64","jit","true","green","94","2026-02-28T01:09:15Z","docs\evidence\profiles\v50\conformance_jit.csv"
