"run_id","side","ref","commit","snapshot_id","description","elapsed_ms","peak_working_set_bytes","log_path","artifact_path"
"vmd7-mem-bstr-coreonly","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","strptr_wide_call","StrPtr targets BSTR payload for native wide call","90707.23","11374592","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\baseline\memory\logs\pointer_strptr_wide_call.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\baseline\memory\pointer_snapshot_summary.csv"
"vmd7-mem-bstr-coreonly","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","varptr_string_cell","VarPtr(String) exposes BSTR container cell","92784.78","11243520","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\baseline\memory\logs\pointer_varptr_string_cell.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\baseline\memory\pointer_snapshot_summary.csv"
"vmd7-mem-bstr-coreonly","candidate","HEAD","9fa9ab7776370444b8476141f7527f95ca7f5c06","strptr_wide_call","StrPtr targets BSTR payload for native wide call","65339.15","11317248","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\candidate\memory\logs\pointer_strptr_wide_call.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\candidate\memory\pointer_snapshot_summary.csv"
"vmd7-mem-bstr-coreonly","candidate","HEAD","9fa9ab7776370444b8476141f7527f95ca7f5c06","varptr_string_cell","VarPtr(String) exposes BSTR container cell","97768.55","11390976","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\candidate\memory\logs\pointer_varptr_string_cell.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\candidate\memory\pointer_snapshot_summary.csv"
