"run_id","workload_id","category","baseline_peak_working_set_bytes","candidate_peak_working_set_bytes","delta_peak_working_set_bytes","baseline_steady_working_set_bytes","candidate_steady_working_set_bytes","delta_steady_working_set_bytes","baseline_elapsed_ms","candidate_elapsed_ms","delta_elapsed_ms","baseline_log","candidate_log"
"vme5-mem-full","com_variant_bstr_array","com_variant","11227136","11173888","-53248","11227136","11173888","-53248","37451.41","26121.22","-11330.190000000002","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\baseline\memory\logs\com_variant_bstr_array.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\candidate\memory\logs\com_variant_bstr_array.log.txt"
"vme5-mem-full","com_variant_wide_i64_array_boundary","com_variant","11317248","11210752","-106496","11272192","11161600","-110592","141236.93","66460.15","-74776.78","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\baseline\memory\logs\com_variant_wide_i64_array_boundary.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\candidate\memory\logs\com_variant_wide_i64_array_boundary.log.txt"
"vme5-mem-full","com_variant_decimal_array","com_variant","11268096","11329536","61440","11218944","11280384","61440","98425.66","61761.25","-36664.41","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\baseline\memory\logs\com_variant_decimal_array.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\candidate\memory\logs\com_variant_decimal_array.log.txt"
"vme5-mem-full","com_variant_object_result","com_variant","11186176","11341824","155648","11132928","11292672","159744","64510.81","60088.98","-4421.8299999999945","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\baseline\memory\logs\com_variant_object_result.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\candidate\memory\logs\com_variant_object_result.log.txt"
"vme5-mem-full","com_variant_matrix_result","com_variant","11243520","11296768","53248","11194368","11247616","53248","64926.7","62625.35","-2301.3499999999985","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\baseline\memory\logs\com_variant_matrix_result.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vme5-mem-full\candidate\memory\logs\com_variant_matrix_result.log.txt"
