"run_id","side","ref","commit","snapshot_id","description","elapsed_ms","peak_working_set_bytes","log_path","artifact_path"
"vmmem3-smoke","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","varptr_string_cell","VarPtr(String) exposes BSTR container cell","59776.51","11296768","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmmem3-smoke\baseline\memory\logs\pointer_varptr_string_cell.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmmem3-smoke\baseline\memory\pointer_snapshot_summary.csv"
"vmmem3-smoke","candidate","HEAD","dd18643bd9dfddb3f97274f53ddf8869ec5b57f7","varptr_string_cell","VarPtr(String) exposes BSTR container cell","64860.52","11403264","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmmem3-smoke\candidate\memory\logs\pointer_varptr_string_cell.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmmem3-smoke\candidate\memory\pointer_snapshot_summary.csv"
