"topic_id","case_id","scenario","vba_status","vba_observed","oxvba_status","oxvba_observed","match","notes"
"CCT-049","CCT-049-DEFAULTPROP-001","Attribute-backed default property (VB_UserMemId = 0) resolves through bare object assignment","ok","ERR|438|Object doesn't support this property or method","error","lane-failed(exit=101)","false","OxVba anchor: vba_attribute_oracle_lane::windows_vba_attribute_oracle_lane::windows_defaultprop_vb_usermemid_zero_bare_assignment_matches_excel; command=cargo test -p oxvba-host --test vba_attribute_oracle_lane windows_vba_attribute_oracle_lane::windows_defaultprop_vb_usermemid_zero_bare_assignment_matches_excel -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\vba_attribute_oracle_20260328T221304Z\CCT-049-DEFAULTPROP-001.log.txt"
"CCT-050","CCT-050-NEWENUM-001","Attribute-backed enumerator (VB_UserMemId = -4) drives For Each over a class instance","ok","ERR|438|Object doesn't support this property or method","error","error:compile-time diagnostic: PMR-E-BACKEND-COMPILE: type error: unsupported statement: For Each item In widget","false","OxVba anchor: vba_attribute_oracle_lane::windows_vba_attribute_oracle_lane::windows_newenum_vb_usermemid_minus4_for_each_matches_excel; command=cargo test -p oxvba-host --test vba_attribute_oracle_lane windows_vba_attribute_oracle_lane::windows_newenum_vb_usermemid_minus4_for_each_matches_excel -- --ignored --exact --test-threads=1 --nocapture; log=C:\Work\DnaCalc\OxVba\docs\evidence\conformance\oracle_captures\vba_attribute_oracle_20260328T221304Z\CCT-050-NEWENUM-001.log.txt"
